Model,Accuracy,Loss,AUC
icy-sweep-7-02.h5,0.2897,3.6205,0.5629
icy-sweep-7-04.h5,0.403,1.3074,0.7004
icy-sweep-7-06.h5,0.843,0.3794,0.7831
icy-sweep-7-08.h5,0.8363,0.3882,0.8598
icy-sweep-7-10.h5,0.3594,1.8425,0.8511
icy-sweep-7-12.h5,0.9194,0.3561,0.8505
icy-sweep-7-14.h5,0.7725,0.4315,0.8696
icy-sweep-7-16.h5,0.6423,0.5866,0.7649
icy-sweep-7-18.h5,0.7212,0.5415,0.9136
icy-sweep-7-20.h5,0.7674,0.4577,0.8781
icy-sweep-7-22.h5,0.9353,0.2426,0.8805
icy-sweep-7-24.h5,0.9102,0.3677,0.8436
icy-sweep-7-26.h5,0.8186,0.8108,0.8587
icy-sweep-7-28.h5,0.8346,0.4079,0.909
icy-sweep-7-30.h5,0.9353,0.5531,0.8734
icy-sweep-7-32.h5,0.8917,0.3052,0.9033
icy-sweep-7-34.h5,0.5987,1.2003,0.8951
icy-sweep-7-36.h5,0.576,1.5109,0.8198
icy-sweep-7-38.h5,0.8715,0.507,0.9014
icy-sweep-7-40.h5,0.6818,1.143,0.8803
